Data Stream,RSLVQ_SGD,RSLVQ_Adadelta,RSLVQ_RMSprop,RSLVQ_Adam
Agrawal,0.5006,0.5801,0.5802,0.5802
Agrawal_drift,0.5051,0.5804,0.5803,0.5803
Hyperplane,0.606,0.782,0.7739,0.7611
Hyperplane_drift,0.6325,0.8406,0.8293,0.8306
Sine,0.8614,0.9844,0.9835,0.984
Sine_drift,0.8628,0.984,0.9834,0.9843
Cess_data,0.5908,0.5791,0.5801,0.5511
Move_squares,0.9556,0.1357,0.2454,0.3218
Sea_data,0.6317,0.8277,0.814,0.8257
Synth. Mean,0.6829,0.6993,0.7078,0.7132
Synth. Rank,4.0,3.0,2.0,1.0
Electric,0.8284,0.8882,0.8955,0.8099
Poker,0.7637,0.6682,0.714,0.573
Weather,0.638,0.6643,0.7308,0.6601
Rialto,0.7775,0.2715,0.2837,0.2633
Real Mean,0.7519,0.623,0.656,0.5766
Real Rank,1.0,3.0,2.0,4.0
Overall Mean,0.7042,0.6759,0.6919,0.6712
Overall Rank,1.0,3.0,2.0,4.0
