Data Stream,RSLVQ_SGD,RSLVQ_Adadelta,RSLVQ_RMSprop,RSLVQ_Adam
Agrawal,-0.0048,-0.0028,-0.0027,-0.0028
Agrawal_drift,0.0052,0.0032,0.0032,0.0032
Hyperplane,0.212,0.5641,0.5477,0.5222
Hyperplane_drift,0.2649,0.6812,0.6586,0.6613
Sine,0.7209,0.9685,0.9669,0.9678
Sine_drift,0.7238,0.9678,0.9666,0.9684
Cess_data,0.5319,0.5187,0.5197,0.4866
Move_squares,0.9408,-0.1524,-0.0062,0.0958
Sea_data,0.2451,0.6264,0.5954,0.6219
Synth. Mean,0.4044,0.4639,0.4721,0.4805
Synth. Rank,4.0,3.0,2.0,1.0
Electric,0.6479,0.7705,0.7854,0.6098
Poker,0.6002,0.457,0.5172,0.3223
Weather,0.2126,0.1742,0.3862,0.1583
Rialto,0.7527,0.1906,0.2042,0.1814
Real Mean,0.5534,0.3981,0.4733,0.3179
Real Rank,1.0,3.0,2.0,4.0
Overall Mean,0.4502,0.4436,0.4725,0.4305
Overall Rank,2.0,3.0,1.0,4.0
