Data Stream,RSLVQ_SGD,RSLVQ_Adadelta,RSLVQ_RMSprop,RSLVQ_Adam
Agrawal,0.2596,0.3775,0.3776,0.3775
Agrawal_drift,0.2595,0.3724,0.3723,0.3722
Hyperplane,0.2059,0.56,0.5502,0.5202
Hyperplane_drift,0.2607,0.6776,0.6532,0.6595
Sine,0.6972,0.9659,0.9641,0.9651
Sine_drift,0.7006,0.9651,0.9638,0.9658
Cess_data,0.5251,0.5259,0.5269,0.4747
Move_squares,0.9408,-0.1524,-0.0062,0.0958
Sea_data,0.4234,0.7302,0.7088,0.7272
Synth. Mean,0.4748,0.558,0.5679,0.5731
Synth. Rank,4.0,3.0,2.0,1.0
Electric,0.7045,0.8076,0.8201,0.6728
Poker,0.7476,0.6653,0.7115,0.5692
Weather,0.4728,0.5111,0.6079,0.505
Rialto,0.7527,0.1906,0.2042,0.1814
Real Mean,0.6694,0.5436,0.5859,0.4821
Real Rank,1.0,3.0,2.0,4.0
Overall Mean,0.5346,0.5536,0.5734,0.5451
Overall Rank,4.0,2.0,1.0,3.0
