DataStream,RSLVQSGD,RSLVQAdadelta,RSLVQRMSprop,RSLVQAdam
Agrawal,0.4802,0.575,0.575,0.575
AgrawalDrift,0.5618,0.5828,0.5826,0.5828
Hyperplane,0.577,0.751,0.7783,0.7348
HyperplaneDrift,0.604,0.8108,0.7778,0.698
Sine,,0.9824,0.9822,0.9826
SineDrift,,0.9823,0.9822,0.9822
CessData,0.1335,0.1369,0.1232,0.1311
MoveSquares,0.318,0.291,0.3265,0.3097
SeaData,0.6206,0.7741,0.8492,0.7787
Synth. Mean,0.4707,0.654,0.6641,0.6417
Synth. Rank,4.0,2.0,1.0,3.0
Electric,0.5174,0.6468,0.6238,0.6637
Poker,0.2562,0.3176,0.2949,0.3815
Weather,0.5132,0.6778,0.6884,0.678
Rialto,0.1661,0.1739,0.1878,0.1922
Real Mean,0.3632,0.454,0.4487,0.4788
Real Rank,4.0,2.0,3.0,1.0
Overall Mean,0.4316,0.5925,0.5978,0.5916
Overall Rank,4.0,2.0,1.0,3.0
