DataStream,RSLVQSGD,RSLVQAdadelta,RSLVQRMSprop,RSLVQAdam
Agrawal,-0.1761,0.0385,0.0385,0.0385
AgrawalDrift,0.0014,0.0493,0.0489,0.0493
Hyperplane,0.1568,0.506,0.5556,0.4649
HyperplaneDrift,0.188,0.6227,0.5603,0.3974
Sine,,0.9632,0.9628,0.9639
SineDrift,,0.9631,0.9629,0.9629
CessData,-1.473,-1.463,-1.5021,-1.4797
MoveSquares,0.318,0.291,0.3265,0.3097
SeaData,0.1838,0.514,0.6755,0.5239
Synth. Mean,-0.1144,0.2761,0.2921,0.2479
Synth. Rank,4.0,2.0,1.0,3.0
Electric,-2.0314,-1.2183,-1.3628,-1.1124
Poker,-2.5826,-2.2871,-2.3964,-1.9793
Weather,-0.5109,0.0001,0.0329,0.0006
Rialto,0.1661,0.1739,0.1878,0.1922
Real Mean,-1.2397,-0.8328,-0.8846,-0.7247
Real Rank,4.0,2.0,3.0,1.0
Overall Mean,-0.5236,-0.0651,-0.07,-0.0514
Overall Rank,4.0,2.0,3.0,1.0
