DataStream,RSLVQSGD,RSLVQAdadelta,RSLVQRMSprop,RSLVQAdam
Agrawal,0.5006,0.5801,0.5802,0.5089
AgrawalDrift,0.5051,0.5804,0.5803,0.4371
Hyperplane,0.606,0.782,0.7739,0.7685
HyperplaneDrift,0.6325,0.8406,0.8293,0.8398
Sine,0.8614,0.9844,0.9835,0.984
SineDrift,0.8628,0.984,0.9834,0.9843
CessData,0.5908,0.5791,0.5801,0.458
MoveSquares,0.9556,0.1357,0.2454,0.322
SeaData,0.6317,0.8277,0.814,0.8431
Synth. Mean,0.6829,0.6993,0.7078,0.6829
Synth. Rank,3.5,2.0,1.0,3.5
Electric,0.8284,0.8882,0.8955,0.7763
Poker,0.7637,0.6682,0.714,0.4577
Weather,0.638,0.6643,0.7308,0.6041
Rialto,0.7775,0.2715,0.2837,0.2656
Real Mean,0.7519,0.623,0.656,0.5259
Real Rank,1.0,3.0,2.0,4.0
Overall Mean,0.7042,0.6759,0.6919,0.6346
Overall Rank,1.0,3.0,2.0,4.0
