DataStream,RSLVQSGD,RSLVQAdadelta,RSLVQRMSprop,RSLVQAdam
Agrawal,0.2596,0.3775,0.3776,0.2719
AgrawalDrift,0.2595,0.3724,0.3723,0.158
Hyperplane,0.2059,0.56,0.5502,0.5404
HyperplaneDrift,0.2607,0.6776,0.6532,0.6813
Sine,0.6972,0.9659,0.9641,0.9651
SineDrift,0.7006,0.9651,0.9638,0.9657
CessData,0.5251,0.5259,0.5269,0.3892
MoveSquares,0.9408,-0.1524,-0.0062,0.096
SeaData,0.4234,0.7302,0.7088,0.7543
Synth. Mean,0.4748,0.558,0.5679,0.5358
Synth. Rank,4.0,2.0,1.0,3.0
Electric,0.7045,0.8076,0.8201,0.6149
Poker,0.7476,0.6653,0.7115,0.4191
Weather,0.4728,0.5111,0.6079,0.4235
Rialto,0.7527,0.1906,0.2042,0.184
Real Mean,0.6694,0.5436,0.5859,0.4104
Real Rank,1.0,3.0,2.0,4.0
Overall Mean,0.5346,0.5536,0.5734,0.4972
Overall Rank,3.0,2.0,1.0,4.0
