DataStream,RSLVQSGD,RSLVQAdadelta,RSLVQRMSprop,RSLVQAdam
Agrawal,-0.1431,0.0389,0.039,-0.1241
AgrawalDrift,-0.1155,0.0509,0.0519,-0.2681
Hyperplane,0.2125,0.5609,0.5488,0.5362
HyperplaneDrift,0.2558,0.6825,0.6594,0.6802
Sine,0.7179,0.9682,0.9665,0.9675
SineDrift,0.7206,0.9676,0.9663,0.9681
CessData,0.0217,-0.006,-0.0038,-0.2956
MoveSquares,0.9556,0.1357,0.2454,0.322
SeaData,0.1927,0.6223,0.5924,0.656
Synth. Mean,0.3131,0.4468,0.4518,0.3825
Synth. Rank,4.0,2.0,1.0,3.0
Electric,-0.1827,0.2297,0.28,-0.5416
Poker,-0.0925,-0.5336,-0.322,-1.507
Weather,-0.1347,-0.0522,0.1562,-0.2408
Rialto,0.7775,0.2715,0.2837,0.2656
Real Mean,0.0919,-0.0211,0.0995,-0.506
Real Rank,2.0,3.0,1.0,4.0
Overall Mean,0.2451,0.3028,0.3434,0.1091
Overall Rank,3.0,2.0,1.0,4.0
